ID,"К-во филиалов, шт","Товарный ассортимент, шт","К-во групп покупаемых товаров, шт","К-во специализаций покупаемых товаров, шт","Кол-во типов покупаемых товаров, шт","Сумма покупок за все время, руб","Общее к-во покупок за все время, шт",К-во дней сотрудничества,К-во дней с последней покупки,Ранг популярности групп товаров,Ранг популярности спец товаров,Ранг популярности типов товаров,"Средняя стоимость товара, руб",Дней взаимодействия в месяц,DBScan,KMeans
3490,1,1.0986122886681098,1,2,2,9.187184328258978,3.58351893845611,79,1708,4.0,1.6,55.4,5.603665389802867,2.0,1,2
3491,1,3.332204510175204,3,4,10,11.394142829880757,6.163314804034641,1503,318,3.4655172413793105,4.413793103448276,51.25862068965517,5.230828025846115,1.0,5,5
3492,1,1.3862943611198906,3,3,3,11.083658629815295,5.713732805509369,463,245,3.0,3.2,58.0,5.369925824305925,1.0,0,0
3493,1,3.1354942159291497,2,3,13,13.138579345025564,8.401108712395436,908,809,3.9930313588850175,3.4285714285714284,48.801393728223,4.737470632630128,1.0,2,0
3494,1,3.6635616461296463,3,4,9,11.717535445794924,5.700443573390687,905,37,3.679104477611941,3.917910447761194,53.20149253731344,6.0170918724042375,1.0,5,5
3495,1,2.3978952727983707,1,1,7,14.230229893315558,8.570923513837204,138,564,4.0,4.0,44.833333333333336,5.659306379478353,1.0,1,3
3496,1,4.1588830833596715,3,5,12,15.339808938957711,9.497247143960212,1856,32,3.792982456140351,4.087719298245614,57.19649122807017,5.842561794997499,1.0,5,5
3497,1,0.0,1,1,1,8.556413904569519,2.995732273553991,1,29,4.0,4.0,61.0,5.560681631015528,1.0,1,3
3498,1,3.258096538021482,3,3,5,10.955455198756127,5.209486152841421,632,1248,3.051282051282051,5.358974358974359,58.43589743589744,5.745969045914706,1.0,5,0
3499,1,0.0,1,1,1,8.068402958569699,2.302585092994046,1,1606,3.0,6.0,62.0,5.765817865575654,1.0,3,1
3500,1,1.6094379124341003,1,1,4,11.380436043590787,6.270988431858299,1064,428,4.0,4.0,42.41666666666666,5.109447611732488,2.0,1,6
3501,1,1.791759469228055,1,1,2,11.825006423952276,6.734591659972948,22,550,4.0,4.0,56.333333333333336,5.090414763979328,2.0,1,3
3503,1,3.6888794541139363,3,6,15,14.564382393912453,8.762333040602343,395,1492,3.644230769230769,4.201923076923077,48.28846153846154,5.802049353310109,1.0,5,0
3504,1,4.553876891600541,3,5,24,15.043740690889956,10.284455029043892,1590,318,3.951894167167769,3.1972339146121467,49.895369813589895,4.759285661846064,7.0,5,5
3505,1,3.58351893845611,1,2,18,13.568893279354608,8.99118884193151,253,1375,4.0,3.041860465116279,50.40232558139535,4.577704437423097,3.0,1,2
