ds,y
2020-07-24,968925.73
2020-07-25,0.0
2020-07-26,0.0
2020-07-27,1217909.68
2020-07-28,1317355.09
2020-07-29,2009026.44
2020-07-30,1231435.1
2020-07-31,1129347.84
2020-08-01,0.0
2020-08-02,0.0
2020-08-03,2387967.98
2020-08-04,837736.83
2020-08-05,3278882.41
2020-08-06,1814842.75
2020-08-07,1040503.79
2020-08-08,0.0
2020-08-09,0.0
2020-08-10,1002827.3
2020-08-11,995778.07
2020-08-12,2396070.05
2020-08-13,843374.3
2020-08-14,1244120.54
2020-08-15,0.0
2020-08-16,0.0
2020-08-17,2095626.72
2020-08-18,1415448.45
2020-08-19,2581515.62
2020-08-20,942596.02
2020-08-21,2382446.17
2020-08-22,0.0
2020-08-23,0.0
2020-08-24,1806491.72
2020-08-25,1544939.53
2020-08-26,2277614.33
2020-08-27,1120480.3599999999
2020-08-28,2382943.28
2020-08-29,0.0
2020-08-30,0.0
2020-08-31,1460726.75
2020-09-01,668522.77
2020-09-02,2751181.05
2020-09-03,1564262.04
2020-09-04,1259166.78
2020-09-05,0.0
2020-09-06,0.0
2020-09-07,1621223.46
2020-09-08,3561664.02
2020-09-09,3076351.38
2020-09-10,948790.5700000001
2020-09-11,2361209.96
2020-09-12,0.0
2020-09-13,0.0
2020-09-14,2070166.46
2020-09-15,864205.1
2020-09-16,3151582.79
2020-09-17,1517228.04
2020-09-18,2219896.93
2020-09-19,0.0
2020-09-20,0.0
2020-09-21,1728502.4
2020-09-22,1680170.29
2020-09-23,3498530.62
2020-09-24,1123700.07
2020-09-25,1831847.21
2020-09-26,0.0
2020-09-27,0.0
2020-09-28,1802265.75
2020-09-29,2063932.7
2020-09-30,1994357.16
2020-10-01,1563322.11
2020-10-02,2022452.95
2020-10-03,0.0
2020-10-04,0.0
2020-10-05,1821327.55
2020-10-06,1433776.96
2020-10-07,4491162.16
2020-10-08,867070.03
2020-10-09,2103139.6
2020-10-10,0.0
2020-10-11,0.0
2020-10-12,2256790.06
2020-10-13,774381.1799999999
2020-10-14,1771402.34
2020-10-15,1189535.73
2020-10-16,1507262.92
2020-10-17,0.0
2020-10-18,0.0
2020-10-19,1647282.19
2020-10-20,2638807.07
2020-10-21,2132451.62
2020-10-22,1040013.5
2020-10-23,1479705.27
2020-10-24,0.0
2020-10-25,0.0
2020-10-26,2801837.55
2020-10-27,1573946.96
2020-10-28,125015.75
2020-10-29,2336064.98
2020-10-30,1425345.72
2020-10-31,0.0
2020-11-01,0.0
2020-11-02,1514088.74
2020-11-03,1801651.38
2020-11-04,0.0
2020-11-05,1885240.37
2020-11-06,1471315.78
2020-11-07,0.0
2020-11-08,0.0
2020-11-09,2890150.89
2020-11-10,930544.29
2020-11-11,3738426.69
2020-11-12,1891780.54
2020-11-13,1422829.8900000001
2020-11-14,0.0
2020-11-15,0.0
2020-11-16,1925346.87
2020-11-17,1208780.1
2020-11-18,1663636.62
2020-11-19,645646.0
2020-11-20,1622642.07
2020-11-21,0.0
2020-11-22,0.0
2020-11-23,2401748.25
2020-11-24,1741030.43
2020-11-25,2588486.91
2020-11-26,1170414.4
2020-11-27,1876117.79
2020-11-28,0.0
2020-11-29,0.0
2020-11-30,2162752.4899999998
2020-12-01,1800874.35
2020-12-02,2254305.38
2020-12-03,1522902.34
2020-12-04,1744849.26
2020-12-05,0.0
2020-12-06,0.0
2020-12-07,2239907.94
2020-12-08,716526.34
2020-12-09,2665161.24
2020-12-10,715953.34
2020-12-11,2021944.68
2020-12-12,0.0
2020-12-13,0.0
2020-12-14,1799146.04
2020-12-15,1179133.95
2020-12-16,1764032.35
2020-12-17,1624362.98
2020-12-18,2072623.61
2020-12-19,0.0
2020-12-20,0.0
2020-12-21,2581704.9
2020-12-22,1388669.6099999999
2020-12-23,2651663.85
2020-12-24,3291408.8
2020-12-25,1310037.72
2020-12-26,0.0
2020-12-27,0.0
2020-12-28,2574726.28
2020-12-29,2422812.63
2020-12-30,125307.90000000001
2020-12-31,58943.13
2021-01-01,0.0
2021-01-02,0.0
2021-01-03,0.0
2021-01-04,0.0
2021-01-05,0.0
2021-01-06,0.0
2021-01-07,0.0
2021-01-08,0.0
2021-01-09,0.0
2021-01-10,0.0
2021-01-11,2031805.79
2021-01-12,1423818.94
2021-01-13,2636160.2600000002
2021-01-14,721203.09
2021-01-15,1612610.71
2021-01-16,0.0
2021-01-17,0.0
2021-01-18,1367630.62
2021-01-19,1008756.58
2021-01-20,2650209.91
2021-01-21,941861.18
2021-01-22,1005326.37
2021-01-23,0.0
2021-01-24,0.0
2021-01-25,1961017.52
2021-01-26,1163889.96
2021-01-27,2071994.74
2021-01-28,1454347.07
2021-01-29,1705177.1
2021-01-30,0.0
2021-01-31,0.0
2021-02-01,2457349.79
2021-02-02,1345188.74
2021-02-03,1425271.51
2021-02-04,877630.39
2021-02-05,1795523.56
2021-02-06,0.0
2021-02-07,0.0
2021-02-08,1971033.51
